3662217827
0	970	4272	1687	1655	1916	325	517	1043	1746	1041	2604	555	3862	6463	896	2406	16904	552	5728	2309	2394	1189	1705	872	802	3513	1236	5847	68333	425	969	223	1679	4340	17935	1546	673	236	3179	664	426	4753	2322	785	6160	239	7457	2744	2796	649	3521	4605	4916	11027	860	4524	6444	1787	1919	4125	2705	381	12270	3042	1062	433	13847	4303	482	2290	1228	1017	985	975	1585	4992	1264	1982	586	2254	916	4401	1657	609	258	383	3691	2917	3946	4999	2645	5931	1118	843	6075	960	13310	1430	2912	513	-1111	970	4272	1687	1655	1916	325	517	1043	1746	1041	2604	555	3862	6463	896	2406	16904	552	5728	2309	2394	1189	1705	872	802	3513	1236	5847	68333	425	969	223	1679	4340	17935	1546	673	236	3179	664	426	4753	2322	785	6160	239	7457	2744	2796	649	3521	4605	4916	11027	860	4524	6444	1787	1919	4125	2705	381	12270	3042	1062	433	13847	4303	482	2290	1228	1017	985	975	1585	4992	1264	1982	586	2254	916	4401	1657	609	258	383	3691	2917	3946	4999	2645	5931	1118	843	6075	960	13310	1430	2912	513	-1111	970	4272	1687	1655	1916	325	517	1043	1746	1041	2604	555	3862	6463	896	2406	16904	552	5728	2309	2394	1189	1705	872	802	3513	1236	5847	68333	425	969	223	1679	4340	17935	1546	673	236	3179	664	426	4753	2322	785	6160	239	7457	2744	2796	649	3521	4605	4916	11027	860	4524	6444	1787	1919	4125	2705	381	12270	3042	1062	433	13847	4303	482	2290	1228	1017	985	975	1585	4992	1264	1982	586	2254	916	4401	1657	609	258	383	3691	2917	3946	4999	2645	5931	1118	843	6075	960	13310	1430	2912	513	-1111	
30	719	3068	1507	1509	1515	296	559	1032	1689	778	1905	552	3628	5974	934	2916	15883	987	12444	2909	1828	1083	1700	1001	1029	4126	1769	13675	49336	892	731	217	1714	5217	17823	2030	876	354	7046	933	368	4379	2644	1018	7769	325	8257	3367	3245	605	2989	4959	6562	11850	1070	5200	8284	2131	2051	3466	2267	436	11761	3815	1127	540	14442	4871	481	1971	994	1007	1064	998	1585	5139	1548	2189	586	1985	785	4037	1619	541	241	449	4580	3170	3840	3781	1990	4661	1039	740	4625	1147	9998	1662	2284	413	-1111	974	4281	1686	1655	1918	326	516	1047	1752	1044	2607	557	3868	6474	895	2404	16920	551	5745	2313	2398	1192	1710	870	805	3522	1239	5857	68453	426	974	223	1680	4348	17970	1551	675	235	3188	665	424	4758	2329	785	6175	238	7462	2749	2805	651	3525	4612	4922	11051	861	4533	6456	1793	1924	4129	2710	381	12289	3047	1060	433	13889	4315	481	2299	1230	1023	985	977	1585	5005	1264	1992	585	2254	916	4408	1667	610	258	383	3701	2922	3956	5013	2648	5937	1120	845	6086	959	13331	1434	2921	516	-1111	537	2358	1036	1044	1119	193	342	673	1122	568	1426	362	2394	4077	568	1733	10814	425	4752	1644	1363	727	1096	594	581	2497	929	4939	40204	341	556	142	1084	3042	11902	1113	503	177	2611	503	257	3006	1630	587	4467	178	5148	1919	1974	414	2138	3108	3672	7509	624	3147	4733	1266	1300	2508	1664	254	8010	2226	711	311	9514	2967	314	1398	737	661	648	637	1046	3315	889	1381	371	1349	544	2737	1074	360	159	260	2613	1934	2508	2865	1500	3486	701	525	3462	669	7610	986	1670	308	-1111	
60	745	2861	1567	1492	1496	302	532	1036	1662	792	1887	545	3718	5731	938	2834	15728	991	13371	2908	1775	1047	1650	1026	1006	4188	1942	15206	47038	961	755	220	1711	5342	17724	2114	892	411	7582	914	372	4404	2714	1036	8138	321	8430	3355	3221	678	2878	4950	6573	12001	1148	5287	8442	2177	1995	3460	2155	432	11813	3872	1124	547	14140	4939	454	1963	950	1004	1116	1044	1591	4975	1661	2203	624	1920	815	4062	1604	562	257	477	4591	3210	3809	3855	1925	4524	962	718	4386	1135	9575	1712	2442	418	-1111	977	4291	1692	1659	1918	327	521	1043	1754	1045	2609	556	3877	6486	898	2408	16949	551	5755	2307	2406	1197	1709	873	808	3526	1240	5866	68553	426	976	223	1682	4364	17999	1555	676	236	3196	666	423	4774	2336	787	6182	240	7475	2756	2812	652	3535	4620	4933	11066	864	4540	6474	1797	1930	4136	2717	382	12309	3054	1060	433	13898	4317	480	2309	1230	1024	987	979	1590	5013	1269	2002	587	2257	920	4413	1670	611	258	383	3712	2925	3971	5020	2651	5943	1124	847	6100	963	13360	1438	2930	518	-1111	545	2196	1032	1001	1075	198	329	684	1077	563	1397	352	2423	3920	589	1640	10455	424	4798	1548	1309	689	1060	584	573	2428	953	4965	37954	345	549	144	1065	3079	11628	1121	489	184	2649	479	253	2926	1609	562	4466	176	5116	1906	1908	426	2054	3074	3591	7486	639	3116	4678	1247	1257	2418	1571	253	7816	2195	695	305	9207	2940	310	1360	694	619	668	649	1025	3150	891	1351	405	1358	523	2631	1046	361	161	263	2539	1930	2466	2837	1386	3253	636	500	3287	656	7248	973	1687	308	-1111	
90	668	2928	1540	1447	1523	296	539	1020	1599	818	1915	531	3722	5792	1012	2877	15893	1061	13678	3049	1747	1034	1723	1035	1077	4244	1919	15485	46086	1000	666	200	1653	5432	17670	2198	888	413	7907	952	355	4257	2666	1049	8102	347	8313	3420	3193	681	2870	4895	6820	11777	1123	5325	8749	2188	2082	3368	2262	429	11591	3833	1185	602	14245	4952	462	1866	974	1043	1184	1035	1550	4967	1606	2206	572	1908	767	4005	1599	599	277	430	4627	3220	3887	3796	1901	4483	999	775	4285	1169	9690	1697	2462	408	-1111	979	4300	1699	1666	1922	327	520	1042	1755	1042	2614	558	3885	6503	899	2412	16969	553	5764	2304	2409	1195	1712	875	809	3533	1240	5872	68674	428	976	224	1685	4370	18034	1555	677	234	3205	666	425	4776	2337	789	6189	242	7489	2753	2819	654	3539	4626	4945	11080	868	4548	6484	1800	1937	4145	2726	382	12324	3060	1064	435	13908	4322	484	2313	1233	1026	986	984	1591	5024	1270	2007	585	2256	922	4421	1672	613	258	386	3713	2933	3978	5036	2653	5954	1121	845	6108	964	13380	1444	2936	517	-1111	511	2204	1019	1001	1100	199	320	657	1048	568	1419	321	2438	3929	599	1666	10567	441	4761	1610	1275	694	1105	610	600	2433	943	4985	37142	359	498	141	1048	3037	11606	1129	489	187	2686	481	242	2901	1595	578	4457	181	5059	1935	1892	432	2007	3030	3649	7389	648	3126	4745	1260	1263	2403	1571	247	7741	2140	728	327	9158	2944	299	1307	691	646	681	664	1022	3166	917	1359	369	1298	497	2623	1031	395	176	255	2550	1933	2463	2787	1375	3262	633	502	3199	652	7225	970	1705	288	-1111	
120	693	2986	1432	1426	1477	331	536	1017	1624	807	1841	547	3739	5778	978	2948	15634	1009	13917	3053	1723	1099	1673	1048	1022	4258	1917	15559	46258	950	722	233	1764	5376	17681	2271	880	384	8145	904	369	4307	2690	1073	8174	316	8209	3420	3172	681	2932	4876	6725	11756	1106	5308	8689	2183	2032	3341	2181	404	11844	3953	1102	567	14274	5123	505	1858	1011	1002	1135	1004	1610	5175	1679	2232	585	1893	773	3943	1598	557	274	427	4688	3203	3951	3672	1981	4400	998	806	4306	1238	9468	1712	2351	383	-1111	982	4305	1702	1671	1919	326	520	1046	1758	1047	2616	558	3888	6508	901	2422	16987	554	5773	2305	2408	1197	1712	875	810	3535	1239	5884	68754	427	979	225	1689	4378	18056	1560	678	234	3200	668	425	4778	2353	787	6202	242	7507	2759	2828	657	3545	4626	4958	11111	869	4556	6489	1805	1935	4155	2730	384	12346	3063	1064	436	13940	4324	486	2312	1234	1026	986	986	1595	5041	1270	2007	587	2256	927	4426	1670	614	258	386	3720	2935	3982	5034	2654	5958	1120	845	6120	963	13397	1445	2940	515	-1111	513	2232	966	937	1048	214	320	660	1046	588	1374	339	2396	3943	599	1651	10478	430	4791	1635	1245	724	1073	616	549	2465	968	5053	37166	351	540	146	1123	3044	11628	1182	459	177	2661	477	256	2899	1574	588	4466	172	4983	1941	1857	430	2068	3035	3638	7313	630	3115	4745	1259	1240	2389	1543	239	7824	2194	686	324	9058	2968	299	1320	694	636	683	629	1019	3290	891	1338	377	1307	523	2581	1028	379	173	262	2592	1946	2493	2718	1424	3246	648	522	3227	670	7098	989	1637	286	-1111	
150	694	2878	1494	1524	1555	270	545	949	1622	860	1816	563	3633	5902	988	2776	15979	1039	14045	2966	1779	1059	1701	1050	1005	4156	1914	15799	45611	1047	751	232	1737	5368	17959	2120	880	379	7985	890	366	4387	2705	1061	8103	331	8373	3420	3292	641	2802	5081	6630	11870	1196	5296	8628	2200	2039	3304	2109	486	11804	3947	1133	617	14350	5064	483	1913	1035	1044	1150	1007	1566	5016	1720	2216	622	1908	792	4050	1625	572	247	430	4691	3201	3903	3678	1921	4449	991	729	4347	1176	9673	1659	2359	378	-1111	981	4313	1704	1674	1920	326	522	1048	1757	1047	2625	559	3892	6512	902	2422	17005	554	5781	2307	2415	1201	1715	878	814	3537	1244	5887	68843	428	979	226	1689	4384	18081	1559	678	234	3204	667	427	4782	2356	788	6204	243	7498	2761	2830	654	3546	4626	4973	11131	871	4565	6492	1808	1939	4156	2730	385	12364	3064	1067	437	13960	4325	488	2317	1238	1025	983	987	1600	5045	1270	2010	587	2258	931	4431	1671	614	256	386	3721	2947	3992	5045	2654	5958	1119	846	6127	967	13421	1449	2952	515	-1111	502	2187	988	998	1092	189	348	632	1101	590	1368	344	2347	3968	585	1646	10651	422	4817	1584	1294	711	1095	590	572	2428	957	5054	36745	354	545	156	1080	3044	11708	1130	468	174	2689	482	241	2942	1602	566	4543	174	5092	1924	1904	409	1967	3095	3625	7380	661	3108	4736	1265	1243	2335	1520	265	7841	2176	711	329	9173	2989	301	1326	717	648	666	633	1019	3208	919	1353	383	1326	539	2671	1034	366	168	249	2554	1932	2478	2740	1377	3269	660	491	3280	651	7292	956	1658	281	-1111	
180	665	2893	1601	1456	1461	297	542	1031	1640	807	1804	546	3709	5883	984	2977	15805	1067	14175	3046	1856	997	1711	1089	1071	4249	1954	15605	45596	1038	723	222	1749	5385	17881	2132	937	420	8025	899	334	4437	2693	1108	8191	305	8314	3438	3293	651	2895	4939	6776	12012	1146	5337	8639	2169	1984	3418	2163	428	11908	3760	1122	578	14044	5108	517	1877	1023	974	1055	1012	1669	5160	1662	2175	590	1916	765	4026	1495	598	263	452	4623	3317	3892	3797	1967	4439	1001	729	4402	1155	9618	1696	2346	411	-1111	983	4325	1707	1674	1927	326	522	1049	1758	1051	2631	560	3888	6516	904	2432	17028	556	5785	2312	2417	1205	1717	879	814	3540	1247	5894	68953	427	978	224	1688	4393	18098	1562	681	235	3210	668	425	4785	2354	786	6210	243	7502	2762	2833	654	3554	4621	4979	11148	874	4563	6500	1807	1943	4163	2736	385	12387	3072	1069	438	13968	4328	488	2323	1238	1026	982	988	1603	5042	1273	2011	584	2268	934	4436	1672	616	256	384	3729	2948	3996	5049	2657	5964	1125	848	6131	968	13428	1450	2954	516	-1111	495	2180	1025	980	1069	195	330	649	1053	582	1366	340	2373	3944	586	1681	10512	440	4842	1602	1371	688	1096	624	588	2441	963	5016	36816	339	540	152	1098	3052	11713	1120	502	192	2677	467	228	2955	1616	578	4521	162	5050	1937	1911	433	2004	3051	3654	7487	645	3157	4661	1241	1240	2380	1550	263	7810	2145	708	303	9086	2961	312	1325	702	618	635	662	1028	3221	904	1316	372	1311	492	2624	998	380	172	262	2515	1922	2485	2812	1424	3275	661	489	3251	648	7208	992	1624	290	-1111	
210	657	2877	1513	1487	1590	297	548	1038	1682	786	1848	577	3681	5823	967	2795	16024	1063	14169	3080	1690	1028	1728	1046	1088	4261	1945	15534	45599	986	747	228	1710	5417	17871	2130	922	470	8126	913	368	4302	2722	1082	8096	341	8466	3523	3309	667	2836	4965	6684	12181	1056	5295	8688	2172	1978	3339	2145	503	11907	3983	1127	588	14264	4949	518	1947	945	995	1103	998	1591	5120	1675	2247	600	1916	766	4054	1604	544	264	446	4636	3270	3821	3727	2021	4472	1015	762	4414	1202	9595	1686	2357	389	-1111	983	4330	1707	1675	1931	326	521	1053	1762	1051	2629	560	3886	6535	901	2438	17045	556	5784	2316	2419	1207	1717	880	819	3548	1252	5898	69037	426	981	224	1688	4397	18112	1562	682	235	3219	670	425	4789	2355	785	6220	243	7511	2774	2834	655	3559	4623	4990	11164	878	4583	6506	1809	1939	4157	2735	385	12415	3071	1072	439	13985	4334	488	2328	1244	1027	984	990	1602	5050	1272	2011	585	2277	936	4448	1670	616	256	383	3730	2950	4002	5055	2666	5968	1126	847	6138	970	13431	1452	2956	522	-1111	481	2177	999	1000	1122	194	338	656	1096	553	1372	347	2395	3950	590	1605	10578	440	4844	1611	1236	686	1083	626	586	2444	961	4952	36635	342	535	149	1079	3082	11670	1137	491	191	2683	494	248	2893	1582	562	4412	180	5072	1962	1931	422	2026	3059	3657	7543	639	3114	4718	1234	1262	2376	1533	271	7862	2208	705	317	9156	2953	317	1341	673	622	657	624	1028	3247	903	1336	365	1310	517	2625	1056	377	173	258	2576	1944	2472	2763	1414	3290	658	507	3272	670	7203	989	1668	281	-1111	
240	715	2815	1575	1464	1578	297	522	1093	1702	808	1899	557	3714	5773	942	2958	15687	1075	14324	2972	1769	1062	1714	1027	994	4215	1919	15739	46094	985	730	217	1691	5376	17665	2283	936	408	8336	911	336	4416	2682	1103	8091	349	8511	3528	3225	627	2930	4982	6778	11941	1182	5186	8663	2143	2045	3340	2127	464	11832	3876	1165	575	14134	4975	560	1947	947	1057	1154	1014	1577	5014	1641	2142	603	1955	753	4058	1586	580	289	459	4632	3277	3789	3644	1977	4443	1005	770	4371	1209	9875	1609	2461	433	-1111	981	4333	1711	1676	1930	325	524	1056	1763	1054	2625	560	3886	6537	901	2441	17053	557	5792	2318	2419	1206	1717	880	817	3555	1252	5899	69123	428	979	225	1686	4397	18127	1561	681	236	3222	671	426	4792	2359	788	6226	242	7519	2782	2836	656	3558	4629	4998	11171	879	4590	6508	1810	1944	4160	2741	385	12424	3073	1075	438	14003	4344	490	2333	1242	1028	985	989	1601	5063	1274	2012	583	2283	941	4454	1672	614	255	383	3734	2953	4009	5067	2671	5984	1123	847	6144	973	13467	1452	2967	525	-1111	507	2171	1041	997	1109	200	330	692	1125	577	1418	344	2390	3893	586	1676	10418	441	4876	1617	1296	707	1092	588	570	2435	950	4998	37085	349	531	148	1081	3028	11550	1156	502	180	2717	482	227	2939	1582	573	4400	183	5177	1985	1901	400	2055	3065	3671	7441	627	3090	4775	1243	1242	2380	1513	249	7829	2157	706	314	9054	2949	335	1372	645	653	682	648	1013	3252	891	1326	360	1335	503	2637	1045	383	177	257	2534	1927	2460	2715	1416	3294	665	512	3302	677	7390	954	1736	305	-1111	
270	705	2925	1521	1469	1522	307	510	1020	1624	830	1844	573	3671	5821	1045	2944	15778	1005	14314	3026	1795	1030	1701	1025	1058	4368	1858	15985	45588	993	740	187	1704	5382	17884	2194	856	416	8258	1014	357	4298	2651	1070	8227	321	8332	3439	3298	643	2901	5025	6876	12167	1117	5349	8605	2230	1945	3320	2177	438	11850	3911	1189	597	14430	4915	526	1992	938	964	1121	1051	1530	5099	1614	2246	563	2016	808	4120	1636	525	274	402	4664	3234	3823	3723	1930	4458	1005	762	4373	1226	9847	1689	2358	370	-1111	983	4337	1718	1681	1933	327	525	1059	1764	1056	2628	559	3886	6546	900	2441	17063	558	5797	2325	2421	1209	1725	880	818	3561	1251	5902	69216	427	979	225	1692	4400	18163	1566	679	236	3225	675	428	4808	2359	788	6228	243	7532	2788	2841	659	3563	4628	5001	11193	883	4596	6510	1811	1946	4163	2746	386	12437	3077	1074	439	14016	4349	490	2335	1243	1030	985	988	1601	5066	1275	2016	580	2287	941	4453	1676	615	255	383	3738	2956	4027	5074	2673	5994	1124	850	6157	974	13498	1451	2967	525	-1111	530	2226	1016	982	1107	201	329	662	1065	590	1355	347	2360	3909	620	1668	10545	430	4833	1613	1287	706	1076	606	581	2505	945	4968	36695	351	541	136	1075	3071	11767	1125	467	181	2704	511	238	2864	1581	582	4537	176	5103	1948	1942	401	2050	3083	3728	7525	636	3135	4683	1299	1251	2331	1523	253	7879	2222	717	330	9223	2990	334	1364	678	616	661	653	988	3279	904	1350	350	1356	540	2664	1024	362	160	242	2563	1960	2501	2778	1407	3252	648	504	3275	670	7385	973	1671	281	-1111	
